"Nombre","Direccion","Idioma","Valor_Cafeteria","Ciudad","Genero","Total_Profesores","Fundacion","Promedio_Alumnos","Total_Alumnos","Confesional","Valor_Transporte","Valor_Pension","Jornada","Calendario"
"Colegio Cumbres (Chía)","Km. 26 Autopista Norte, Vereda Yerbabuen","Bilingüe Español Inglés",250000,"Chía","Educación diferenciada",70,2000,20,400,"Católico",380000,2200,"7:00 - 2:45","B: Agosto a Junio"
"Colegio Cumbres (Envigado)","Carrera 27 B Nro. 27 D sur 86","Bilingüe Español Inglés",170000,"Envigado","Educación diferenciada",142,1995,23,1280,"Católico",130001,1000,"--","B: Agosto a Junio"
"Colegio de Inglaterra – The English School (Bogotá)","Calle 170 No.15-68","Bilingüe Español Inglés",257000,"Bogotá D.C.","Mixto",242,1961,25,1710,"No",320000,1600," 7:30 am - 2:30 pm | 7:30 am - 3:30 pm","B: Agosto a Junio"
"Colegio de la Enseñanza – Compañía de María (Bogotá)","Av. Cll 201 N° 67- 12","Intensivo Inglés",194000,"Bogotá D.C.","Mixto",60,1783,25,800,"Católico",298000,900001,"8:00am a 2:30pm | 7:00am a 3:30pm","A: Febrero a Noviembre"
"Colegio de la Presentacio´n Sans Façon (Bogotá)","Calle 170 N° 17- A - 55","Intensivo Inglés",,"Bogotá D.C.","Mixto",40,1898,25,450,"Católico",,,"Lu a Ju: 7:00 a 3:20 Vi: 7:00 a 2:30","A: Febrero a Noviembre"
"Colegio de Nuestra Señora del Buen Consejo (Bogotá)","Calle 104 No. 17- 22","Intensivo Inglés",60000,"Bogotá D.C.","Mixto",42,1958,25,750,"Católico",225000,550000,"Lu a Ju: 7:00 am a 3:00 pm Vi: 7:00 a","A: Febrero a Noviembre"
"Colegio Ekirayá (La Calera)","Kilómetro 7 Vía La Calera","Bilingüe Español Inglés",400000,"La Calera","Mixto",35,2005,21,337,"No",450000,1800,"7:30 am a 3:15 pm","B: Agosto a Junio"
"Colegio Emilio Valenzuela (BogotÃ¡)","Carrera 68 # 180-45 barrio San JosÃ© de","BilingÃ¼e EspaÃ±ol InglÃ©s",260000,"BogotÃ¡ D.C.","EducaciÃ³n diferenciada",180,1965,26,1100,"Si",280000,1075,"8:30 am a 3:30 pm | 6:30 am a 3:30 pm","A: Febrero a Noviembre"
"Colegio Emmanuel d’Alzon (Bogotá)","Transversal 56 No.114-50","Intensivo Inglés",160000,"Bogotá D.C.","Mixto",50,1955,25,660,"Si",180000,400000,"Diurna","A: Febrero a Noviembre"
"Colegio Hacienda Los Alcaparros (La Calera)","Vía La Calera, Vereda el Salitre, Km3","Bilingüe Español Inglés",382211,"La Calera","Mixto",120,1992,24,760,"No",557648,2300,"K4-5°: 7:45am-3:00pm/6°-11° 7:45am–","B: Agosto a Junio"
"Colegio Internacional de Educación Integral CIEDI (Bogotá)","Km 3 vía Suba-Cota
Bogotá","Bilingüe Español Inglés",340000,"Bogotá D.C.","Mixto",76,1977,20,655,"Católico abierto",350001,1300,"Única Pre-escolar: Lunes a viernes 8:0","B: Agosto a Junio"
"Colegio Internacional SEK Colombia – Trinidad del Monte (Bogotá)","Autopista Norte KM 25 Vía a Sopó, vere","Bilingüe Español Inglés",370000,"Bogotá D.C.","Mixto",23,1982,23,200,"",,1500,"Lu a Vi: 7:15 am a 3:15 pm","B: Agosto a Junio"
"Colegio Jordán de Sajonia (Bogotá)","Carrera 1 No. 68-50","Bilingüe Español Inglés",150001,"Bogotá D.C.","Mixto",70,1954,25,1000,"Si",150001,400001,"Completa","A: Febrero a Noviembre"
"Colegio La Arboleda (Cali)","Cra.125 # 2-80 Av. La María, Pance - Ca","Bilingüe Español Inglés + Francés",204000,"Cali","Mixto",86,1996,24,803,"",,,"7:30 a.m. a 2:30 p.m.","B: Agosto a Junio"
"Colegio La Colina (La Calera)","Km. 9.5 Via La Calera","Bilingüe Español Inglés",,"La Calera","Mixto",72,1996,22,750,"No",455600,2257,"7:30 a.m. 3:15 p.m.","B: Agosto a Junio"
"Colegio Los Nogales (Bogotá)","Calle 202 No. 56 - 50","Bilingüe Español Inglés",400000,"Bogotá D.C.","Mixto",140,1982,24,972,"- -",400000,2400,"9:10 am a 3:10 pm | 7:10 am a 3:10 am","B: Agosto a Junio"
"Colegio Mayor de los Andes (Cajicá)","Kilómetro 3 vía Chia - Cajica","Bilingüe Español Inglés",150001,"Cajicá","Mixto",80,1989,21,840,"No",160000,900000,"Única","B: Agosto a Junio"
"Colegio Moderno John Dewey (Bogotá)","Transversal 54 N° 111 - 85","Bilingüe Español Inglés",300000,"Bogotá D.C.","Mixto",22,1968,10,125,"Laico",350000,993744,"7:30 am a 3:00 pm","B: Agosto a Junio"
"Colegio Montemorel (Chía)","Calle 1A Sur # 10 - 91, Vía Guaymaral","Intensivo Inglés",200000,"Chía","Mixto",30,1994,21,240,"No",175000,600000,"7:00 a.m. - 3:00 p.m","A: Febrero a Noviembre"
